,update,merit,gestation,fitness,repro_rate,dep_size,copied_size,executed_size,dep_abundance,prop_birth,breed_true,dep_depth,generation,neutral,label,true_rep_rate,not,nand,and,orn,or,andn,nor,xor,equ,resnot,resand,resor,resnor,resnand,resorn,resandn,resxor,resequ,safe,inst_executed,popsize,genotypecount,thresholdgenotypes,numspecies,numthresholdspecies,numlineages,numbirths,numdeaths,numbreedtrue,numbreedtrue2,numnobirth,numsinglethreaded,nummultithreaded,nummodified,uniquephenotypetask,shannondiv,uniquephenotypecount,avgshannondiv,avgtaskdiv,seed,condition,patches,killed,ecology
158933,100000,2847710000.0,2767.08,811523.0,0,0,539.411,494.338,0,0.00817996,0.00817996,0,875.1439999999999,-7.27875,0,-2.20782e+53,844.0,354.0,845.0,354.0,845.0,845.0,354.0,491.0,491.0,23.9528,67.1635,22.7076,50.5064,24.6708,22.9656,50.17,34.8448,35.2069,9000.0,29130.0,978.0,168.0,48.0,0.0,0.0,0.0,8.0,7.0,8.0,978.0,265.0,978.0,0.0,0.0,4.0,1.4330399999999999,14.0,2.30754,5.54012,9400,test_command_results/100_patches_3_cells_300_killed_ecology-pop1_9400/data,100,300,Y
159034,100000,10665300.0,2132.55,5014.04,0,0,121.117,116.117,0,0.020978999999999998,0.020978999999999998,0,1593.73,1.97691,0,4281.09,624.0,624.0,624.0,624.0,377.0,624.0,1001.0,377.0,1001.0,18.8828,101.17,101.742,18.7293,39.5967,18.6917,12.7441,42.8127,14.8388,930.0,29970.0,1001.0,2.0,2.0,0.0,0.0,0.0,21.0,20.0,21.0,1001.0,479.0,1001.0,0.0,0.0,2.0,0.955168,2.0,2.41665,5.872000000000001,10108,test_command_results/1_patches_30_cells_100_killed_ecology-pop6_10108/data,1,100,Y
159127,100000,855519.0,1230.86,693.377,0,0,235.937,214.78900000000002,0,0.0160321,0.00300601,0,3146.75,-20.8138,0,508.041,955.0,981.0,964.0,949.0,899.0,962.0,918.0,937.0,942.0,11.890999999999998,10.997,11.3493,12.7788,13.8687,11.5711,12.9486,12.0119,12.2683,930.0,29850.0,998.0,717.0,158.0,0.0,0.0,0.0,16.0,17.0,3.0,472.0,539.0,998.0,0.0,0.0,38.0,1.41242,82.0,3.04989,8.52213,10395,test_command_results/1_patches_30_cells_200_killed-pop10_10395/data,1,200,N
159228,100000,1299440000000000.0,3720.08,333893000000.0,0,0,498.152,303.797,0,0.00538213,0.00107643,0,1294.15,5.941269999999999,0,-1.55371e+43,879.0,538.0,809.0,800.0,490.0,857.0,465.0,344.0,442.0,29.0662,85.2788,34.7167,34.648,89.4201,36.3373,51.0709,85.2843,70.0083,9000.0,27720.0,929.0,867.0,211.0,0.0,0.0,0.0,5.0,5.0,1.0,154.0,199.0,929.0,0.0,0.0,48.0,2.97505,277.0,2.41886,6.053030000000001,9231,test_command_results/100_patches_3_cells_200_killed-pop2_9231/data,100,200,N
159321,100000,14709700.0,2106.1,7000.04,0,0,120.818,115.818,0,0.0112936,0.0112936,0,1639.47,-36.3389,0,5849.89,549.0,611.0,549.0,611.0,363.0,549.0,974.0,425.0,974.0,30.6679,66.0429,89.0901,24.6024,34.3665,30.4327,15.3197,30.8249,18.3268,930.0,29160.0,974.0,3.0,3.0,0.0,0.0,0.0,11.0,12.0,11.0,974.0,487.0,974.0,0.0,0.0,3.0,1.25053,3.0,2.39601,5.7538599999999995,10303,test_command_results/1_patches_30_cells_200_killed_ecology-pop6_10303/data,1,200,Y
159416,100000,10881800000.0,4008.15,2324270.0,0,0,734.7760000000001,689.9960000000001,0,0.00594648,0.00594648,0,624.669,-2.8231900000000003,0,1957770.0,880.0,62.0,882.0,63.0,881.0,882.0,63.0,819.0,819.0,31.8971,994.992,31.2069,994.927,31.2907,31.1893,994.992,30.8082,31.2426,9000.0,30120.0,1009.0,168.0,58.0,0.0,0.0,0.0,6.0,9.0,6.0,1007.0,285.0,1009.0,0.0,0.0,5.0,0.895176,17.0,2.26934,5.2977,9201,test_command_results/100_patches_3_cells_200_killed_ecology-pop1_9201/data,100,200,Y
159508,100000,155351000000.0,2884.93,51372100.0,0,0,434.57599999999996,391.24300000000005,0,0.00215285,0.00107643,0,1883.24,29.793000000000003,0,46684500.0,891.0,886.0,360.0,907.0,862.0,545.0,880.0,864.0,885.0,26.6304,27.0265,54.695,24.5532,24.9391,41.6337,24.9111,23.4119,23.2274,930.0,27900.0,929.0,835.0,67.0,0.0,0.0,0.0,2.0,3.0,1.0,141.0,473.0,929.0,0.0,0.0,44.0,1.8332,187.0,2.8675,7.6211,10690,test_command_results/1_patches_30_cells_400_killed-pop5_10690/data,1,400,N
159609,100000,6.94999e+34,10066.9,6.63484e+30,0,0,984.08,976.569,0,0.0,0.0,0,1586.42,-24.866999999999997,0,8.12204e+30,0.0,877.0,0.0,877.0,877.0,877.0,877.0,877.0,877.0,802.6560000000001,108.084,994.992,105.73,105.709,105.791,105.699,108.089,108.083,930.0,26370.0,877.0,119.0,115.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,448.0,877.0,0.0,0.0,1.0,0.0,3.0,2.80575,7.0,10483,test_command_results/1_patches_30_cells_300_killed_ecology-pop5_10483/data,1,300,Y
159703,100000,105437000.0,2214.28,46538.9,0,0,120.775,116.544,0,0.00535906,0.00428725,0,1805.89,-13.4465,0,36774.2,533.0,524.0,513.0,532.0,585.0,521.0,749.0,353.0,655.0,25.4256,42.3778,75.2628,17.2361,31.5739,22.6991,17.2654,52.5136,22.0958,930.0,28020.0,933.0,415.0,125.0,0.0,0.0,0.0,5.0,8.0,4.0,675.0,460.0,933.0,0.0,0.0,32.0,2.8277400000000004,73.0,2.27182,5.32116,10517,test_command_results/1_patches_30_cells_300_killed-pop6_10517/data,1,300,N
159804,100000,715862000.0,2809.55,228973.0,0,0,493.56800000000004,471.285,0,0.00414594,0.00248756,0,697.085,-2.5135400000000003,0,-2.8545e+43,1049.0,526.0,1050.0,527.0,1049.0,1050.0,527.0,523.0,523.0,18.0831,47.4305,18.3284,38.3687,20.1734,18.0676,38.8566,36.8473,37.2666,9000.0,36030.0,1206.0,304.0,112.0,0.0,0.0,0.0,5.0,6.0,3.0,1133.0,381.0,1206.0,0.0,0.0,5.0,1.44489,17.0,2.34115,5.65333,11000,test_command_results/225_patches_2_cells_100_killed_ecology-pop1_11000/data,225,100,Y
159905,100000,4.11537e+33,7640.66,3.65713e+29,0,0,690.7669999999999,673.965,0,0.0010989,0.0,0,621.547,-9.09453,0,1.08384e+29,910.0,910.0,910.0,910.0,910.0,910.0,910.0,1.0,909.0,99.9652,103.527,100.046,103.72,104.179,104.134,103.719,994.992,103.76100000000001,930.0,27270.0,910.0,211.0,208.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,462.0,910.0,0.0,0.0,2.0,0.012386399999999999,2.0,2.9998299999999998,8.0,10168,test_command_results/1_patches_30_cells_100_killed_ecology-pop9_10168/data,1,100,Y
