,update,merit,gestation,fitness,repro_rate,dep_size,copied_size,executed_size,dep_abundance,prop_birth,breed_true,dep_depth,generation,neutral,label,true_rep_rate,not,nand,and,orn,or,andn,nor,xor,equ,resnot,resand,resor,resnor,resnand,resorn,resandn,resxor,resequ,safe,inst_executed,popsize,genotypecount,thresholdgenotypes,numspecies,numthresholdspecies,numlineages,numbirths,numdeaths,numbreedtrue,numbreedtrue2,numnobirth,numsinglethreaded,nummultithreaded,nummodified,uniquephenotypetask,shannondiv,uniquephenotypecount,avgshannondiv,avgtaskdiv,seed,condition
154266,100000,1508240000000.0,3657.04,407329000.0,0,0,209.451,195.482,0,0.00535906,0.00321543,0,1449.4,-45.5836,0,284969000.0,907.0,348.0,638.0,908.0,899.0,902.0,817.0,340.0,552.0,25.2575,58.1686,39.057,32.4849,29.122,26.808000000000003,34.7109,68.6136,47.0844,930.0,27990.0,933.0,637.0,165.0,0.0,0.0,0.0,5.0,6.0,3.0,493.0,449.0,933.0,0.0,0.0,21.0,1.65982,141.0,2.69336,6.76395,10654,killed-pop3
154367,100000,119213000.0,2193.78,52191.6,0,0,324.802,268.629,0,0.00401204,0.00401204,0,1753.76,31.1703,0,21046.5,997.0,709.0,436.0,997.0,997.0,561.0,709.0,288.0,709.0,12.2401,32.6499,36.545,12.8059,17.1293,19.3789,15.8756,62.8722,29.279,930.0,29880.0,997.0,3.0,3.0,0.0,0.0,0.0,4.0,6.0,4.0,997.0,486.0,997.0,0.0,0.0,3.0,1.3926,3.0,2.64732,6.42052,10025,ecology-pop2
154460,100000,22672.5,1108.33,20.6477,0,0,126.964,124.003,0,0.0183246,0.0183246,0,2557.11,2.97017,0,17.858,293.0,810.0,1146.0,695.0,1136.0,1146.0,1091.0,451.0,695.0,21.3772,8.89638,6.02067,10.4547,6.52299,6.02766,6.47757,14.3598,10.8692,9000.0,33750.0,1146.0,91.0,91.0,0.0,0.0,0.0,21.0,14.0,21.0,1146.0,291.0,1146.0,0.0,0.0,10.0,2.24681,15.0,2.69755,6.5114800000000015,9466,ecology-pop4
154561,100000,747640.0,1325.23,554.2230000000002,0,0,102.934,96.9146,0,0.0192102,0.013874100000000002,0,3857.83,9.51431,0,347.582,909.0,844.0,909.0,887.0,851.0,914.0,878.0,870.0,884.0,10.1683,10.8172,10.1395,10.3149,10.5857,9.72765,10.5679,10.61,10.5412,930.0,28020.0,937.0,364.0,81.0,0.0,0.0,0.0,18.0,16.0,13.0,672.0,465.0,937.0,0.0,0.0,41.0,1.46348,76.0,3.04206,8.4797,10958,killed-pop8
154662,100000,3.1513600000000004e+42,17107.9,1.71942e+38,0,0,955.699,951.217,0,0.0,0.0,0,1184.2,33.9685,0,9.24868e+38,750.0,750.0,0.0,750.0,750.0,750.0,750.0,0.0,750.0,151.903,151.906,994.992,152.863,153.47299999999996,152.553,152.81799999999996,994.992,153.583,930.0,22500.0,750.0,125.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,361.0,750.0,0.0,0.0,1.0,0.0,1.0,2.80735,7.0,10444,ecology-pop3
154763,100000,51491000.0,2183.88,23142.9,0,0,119.068,114.57,0,0.0134298,0.00826446,0,1896.69,-14.3378,0,22791.9,760.0,904.0,399.0,943.0,706.0,398.0,879.0,490.0,712.0,23.9559,18.467,53.6295,17.3292,27.1607,31.1902,17.9164,40.5369,19.4965,930.0,28950.0,968.0,408.0,111.0,0.0,0.0,0.0,13.0,11.0,8.0,699.0,486.0,968.0,0.0,0.0,45.0,2.71659,92.0,2.5899400000000004,6.39607,10119,killed-pop6
154864,100000,2.58069e+34,4266.87,1.45518e+30,0,0,362.80800000000005,298.9770000000001,0,0.00114943,0.0,0,311.113,8.599680000000001,0,8.434860000000003e+54,313.0,34.0,294.0,288.0,310.0,311.0,309.0,16.0,282.0,83.441,977.783,120.338,114.808,84.9945,81.8776,80.7958,994.909,123.24,9000.0,26070.0,870.0,753.0,138.0,0.0,0.0,0.0,1.0,2.0,0.0,585.0,585.0,870.0,0.0,0.0,22.0,1.40493,88.0,0.971781,2.46889,9454,killed-pop3
154965,100000,11435.6,1098.26,10.4364,0,0,126.314,123.382,0,0.0158252,0.0158252,0,2565.53,0.598437,0,7.999219999999998,402.0,893.0,1327.0,760.0,1315.0,1314.0,1250.0,567.0,760.0,14.5046,8.67838,5.3725,10.277,5.67586,5.6303,5.8063699999999985,12.0996,10.4654,9000.0,39180.0,1327.0,74.0,74.0,0.0,0.0,0.0,21.0,23.0,21.0,1327.0,430.0,1327.0,0.0,0.0,9.0,2.30681,12.0,2.68872,6.47316,9267,ecology-pop4
155066,100000,95526400000.0,1627.86,21779800.0,0,0,196.489,193.855,0,0.00535906,0.00535906,0,809.865,5.25155,0,16995700.0,354.0,3.0,354.0,351.0,354.0,354.0,354.0,3.0,351.0,27.7692,994.992,38.4619,34.4085,27.5902,32.8646,33.261,994.992,35.897,9000.0,27840.0,933.0,474.0,137.0,0.0,0.0,0.0,5.0,5.0,5.0,933.0,638.0,933.0,0.0,0.0,3.0,0.982052,14.0,1.05526,2.63254,9644,ecology-pop3
155158,100000,1028390.0,1379.55,705.128,0,0,110.72,106.37,0,0.0126984,0.00634921,0,3012.17,120.383,0,474.371,818.0,870.0,890.0,883.0,817.0,822.0,852.0,837.0,863.0,10.9739,10.4483,9.94447,10.4125,10.9267,10.8596,10.733,10.6444,10.3721,930.0,28320.0,945.0,465.0,97.0,0.0,0.0,0.0,12.0,12.0,6.0,619.0,466.0,945.0,0.0,0.0,61.0,2.2166,156.0,2.91679,8.0964,10952,killed-pop8
